Year,No Qualification,Lower secondary school qualification,Upper secondary school qualification,Level 1-3 post-school certificate,Level 4-6 certificate or diploma,Bachelors degree and level 7 qualification,Postgraduate qualification
2013,561,678,626,631,753,980,1178
2014,575,690,605,651,780,1006,1245
2015,579,686,645,657,763,1028,1244
2016,627,759,688,660,848,1077,1331
2017,682,710,722,672,844,1091,1399
2018,674,770,761,703,815,1125,1385
2019,707,798,805,762,863,1151,1474
